eBird species code 2019,English name,scientific name,range,eBird species group
maucus1,Mauritius Cuckooshrike,Lalage typica,Native forests of Mauritius (w Mascarene Islands),Cuckooshrikes
maufod1,Mauritius Fody,Foudia rubra,Uplands of sw Mauritius (w Mascarene Islands),Weavers and Allies
maukes1,Mauritius Kestrel,Falco punctatus,Dense forests of sw Mauritius (w Indian Ocean),Falcons and Caracaras
maupar,Maui Parrotbill,Pseudonestor xanthophrys,Maui (Ohia montane forests on e slopes of Haleakala Crater),"Finches, Euphonias, and Allies"
maupar1,Echo Parakeet,Psittacula eques,,"Parrots, Parakeets, and Allies"
mauwhe1,Mauritius White-eye,Zosterops chloronothos,Highlands of Mauritius (w Mascarene Islands),"White-eyes, Yuhinas, and Allies"
mawbab1,Marbled Wren-Babbler,Turdinus marmoratus,,Ground Babblers and Allies
maweye2,Malaita White-eye,Zosterops stresemanni,Malaita I. (se Solomon Is.),"White-eyes, Yuhinas, and Allies"
mawqua1,Marbled Wood-Quail,Odontophorus gujanensis,,"Grouse, Quail, and Allies"
mawthr1,Malabar Whistling-Thrush,Myophonus horsfieldii,Swift flowing rocky streams of peninsular India,Old World Flycatchers
mawthr2,Malayan Whistling-Thrush,Myophonus robinsoni,Moist montane forests of central Malaya,Old World Flycatchers
mawtyr1,Masked Water-Tyrant,Fluvicola nengeta,,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
maydro1,Mayotte Drongo,Dicrurus waldenii,Woodlands of Mayotte (Comoro Islands),Drongos
mayhon1,Mayr's Honeyeater,Ptiloprora mayri,,Honeyeaters
mayrai1,Mayr's Rail,Rallina mayri,,"Rails, Gallinules, and Allies"
maysco1,Mayotte Scops-Owl,Otus mayottensis,Mayotte (Comoro Islands),Owls
maysun2,Mayotte Sunbird,Cinnyris coquerellii,Mayotte I. (Comoro Is.),Sunbirds and Spiderhunters
mayswi1,Mayr's Swiftlet,Aerodramus orientalis,,Swifts
maywar1,Yellow Warbler (Mangrove),Setophaga petechia [erithachorides Group],,Wood-Warblers
maywhe1,Mayotte White-eye,Zosterops mayottensis,Mayotte (Comoro Is.),"White-eyes, Yuhinas, and Allies"
mbopar2,Magnificent Bird-of-Paradise,Cicinnurus magnificus,,Birds-of-Paradise
mccfin1,Many-colored Chaco Finch,Saltatricula multicolor,"SE Bolivia to w Paraguay, nw Uruguay and n Argentina",Tanagers and Allies
